DESCRIPTION,SHOWROOM COLOR,ALGO HEXA1,ALGO CONFUSED1,ALGO PRECISE1,ALGO HEXA2,ALGO CONFUSED2,ALGO PRECISE2,ALGO HEXA3,ALGO CONFUSED3,ALGO PRECISE3,ALGO HEXA4,ALGO CONFUSED4,ALGO PRECISE4,ALGO HEXA5,ALGO CONFUSED5,ALGO PRECISE5
Compagnon - Bleu marine, rouge,#2a3962,Teal,MidnightBlue,#27305e,Teal,MidnightBlue,#5b5d72,Gray,DimGrey,,,,,,
Compagnon - Caramel, doré et turquoise  ,#a76e48,Gray,Chocolate,#b2794f,Gray,Chocolate,#b78155,Gray,DarkKhaki,#b47e53,Gray,DarkKhaki,,,
Pochette - Bleu marine,  fuchsia,#9f787f,Gray,Grey,#999795,Gray,DarkGrey,#9a9894,Gray,DarkGrey,#9c9997,Gray,DarkGrey,,,
Compagnon - Crème et chocolat,,#b79f80,Gray,RosyBrown,#baa383,Silver,RosyBrown,#a88e71,Gray,RosyBrown,#c5a87f,Silver,Tan,,,
Pochette en cuir - Noir,,#423d3d,Black,DimGrey,#565351,Gray,DimGrey,#4d4846,Gray,DimGrey,#585654,Gray,DimGrey,,,
Sac seau - Bleu marine, bleu marine et argenté  ,#44434e,Gray,DimGrey,#52515c,Gray,DimGrey,#4c4a56,Gray,DimGrey,#53525e,Gray,DimGrey,,,
Sac bandoulière - Bleu marine, turquoise,#393d65,Teal,MidnightBlue,#42425b,Gray,DimGrey,#3c445a,Teal,DimGrey,#5c5e63,Gray,DimGrey,,,
Collier   Doré, doré,#f69813,Orange,Orange,#e6ded0,Silver,LightGrey,,,,,,,,,
Manchette   Turquoise, turquoise,#ecd2bc,Silver,Moccasin,#ba98ac,Silver,DarkGrey,#c96c91,Gray,RosyBrown,,,,,,
Boucles d'oreilles   Argenté, argenté  ,#f3d2b5,Silver,Moccasin,#bdbdbd,Silver,Silver,#b7b7b7,Silver,Silver,,,,,,
Collier   Orange et noir, orange,#e6c3a5,Silver,Tan,#dfb0a5,Silver,Tan,,,,,,,,,
Ceinture en cuir   Marron, marron et doré  ,#b6564f,Gray,Chocolate,#5d403a,Gray,DimGrey,,,,,,,,,
Ceinture en cuir   Marron, marron et doré  ,#b6564f,Gray,Chocolate,#5d403a,Gray,DimGrey,,,,,,,,,
Ceinture métallisée   Argenté, argenté  ,#2686df,Teal,RoyalBlue,#2b80d5,Teal,RoyalBlue,#c2c2c4,Silver,Silver,#c8c8ca,Silver,Silver,,,
Ceinture   Corail fluo, corail fluo  ,#90aec6,Silver,DarkGrey,#de7672,Gray,Salmon,,,,,,,,,
Ceinture   Noir et doré, noir et doré  ,#c44447,Gray,Brown,#343436,Black,MidnightBlue,,,,,,,,,
Ceinture   Noir et doré, noir et doré  ,#ddd186,Silver,Khaki,#2c2929,Black,Black,#3c393a,Black,MidnightBlue,,,,,,
Ceinture motifs animaliers   Marron, marron et noir  ,#6c5355,Gray,DimGrey,#484140,Gray,DimGrey,,,,,,,,,
Ceinture   Camel, camel  ,#d6c6b6,Silver,Silver,#795a49,Gray,DimGrey,#705343,Gray,DimGrey,,,,,,
Ceinture   Camel, camel  ,#d6c6b6,Silver,Silver,#795a49,Gray,DimGrey,#705343,Gray,DimGrey,,,,,,
Ceinture   Camel, camel  ,#d6c6b6,Silver,Silver,#795a49,Gray,DimGrey,#705343,Gray,DimGrey,,,,,,
Ceinture   Noir, noir  ,#ca4648,Gray,Crimson,#313031,Black,MidnightBlue,#2c2b2f,Black,MidnightBlue,,,,,,
Ceinture   Noir, noir  ,#ca4648,Gray,Crimson,#313031,Black,MidnightBlue,#2c2b2f,Black,MidnightBlue,,,,,,
Ceinture   Noir, noir et doré  ,#c33e42,Gray,Brown,#373334,Black,MidnightBlue,#343435,Black,MidnightBlue,,,,,,
Foulard   Bordeaux, bordeaux et bronze  ,#49333e,Black,MidnightBlue,#892a2b,Gray,Brown,,,,,,,,,
Foulard   Caramel, caramel  ,#c7844b,Gray,Chocolate,,,,,,,,,,,,
Porte-clés   Beige,,#b1a89b,Silver,DarkGrey,,,,,,,,,,,,
Porte-clés   Argenté,,#c1c1be,Silver,Silver,,,,,,,,,,,,
Top   Violet, violet  ,#bd2875,Gray,DarkMagenta,#c72a7e,Gray,DeepPink,#b20e68,Gray,DarkMagenta,#a21e59,Gray,Brown,,,
Top guipure Ecru, écru  ,#d7bfae,Silver,Silver,#76513d,Gray,DimGrey,#8a705a,Gray,DimGrey,#e0d0c5,Silver,LightGrey,,,
Top Blanc, blanc,#deaf8b,Silver,Tan,#e6bc9c,Silver,Tan,#d0c2b4,Silver,Silver,#e6bc9b,Silver,Tan,,,
Top dentelle   Moutarde, moutarde  ,#fbc55b,Orange,Khaki,#f7b664,Orange,Tan,#4b4b75,Gray,DimGrey,#f4b25e,Orange,Salmon,,,
Top dentelle   Moutarde, moutarde  ,#fbc55b,Orange,Khaki,#f7b664,Orange,Tan,#4b4b75,Gray,DimGrey,#f4b25e,Orange,Salmon,,,
Top Bleu marine, bleu marine  ,#4a517c,Gray,DimGrey,#495689,Gray,DimGrey,#d7b7a8,Silver,Tan,#40476b,Gray,DimGrey,,,
Top Bleu marine, bleu marine  ,#4a517c,Gray,DimGrey,#495689,Gray,DimGrey,#d7b7a8,Silver,Tan,#40476b,Gray,DimGrey,,,
Top   Noir, noir  ,#322a30,Black,MidnightBlue,#332b30,Black,MidnightBlue,#3f3231,Black,MidnightBlue,#c1946f,Gray,RosyBrown,#382622,Black,Black
Top   Blanc,,#f2d5c1,Silver,Moccasin,#e5bd9a,Silver,Tan,#b7b9bf,Silver,Silver,#efedf1,White,Lavender,,,
Top   Blanc,,#f2d5c1,Silver,Moccasin,#e5bd9a,Silver,Tan,#b7b9bf,Silver,Silver,#efedf1,White,Lavender,,,
Top   Blanc,,#f2d5c1,Silver,Moccasin,#e5bd9a,Silver,Tan,#b7b9bf,Silver,Silver,#efedf1,White,Lavender,,,
Top   Blanc,,#f2d5c1,Silver,Moccasin,#e5bd9a,Silver,Tan,#b7b9bf,Silver,Silver,#efedf1,White,Lavender,,,
Top irisé   Turquoise, turquoise  ,#51c0d6,Aqua,MediumTurquoise,#5acbe3,Aqua,MediumTurquoise,#e5bfa7,Silver,Tan,#26a2bf,Teal,MediumTurquoise,,,
Top irisé   Turquoise, turquoise  ,#51c0d6,Aqua,MediumTurquoise,#5acbe3,Aqua,MediumTurquoise,#e5bfa7,Silver,Tan,#26a2bf,Teal,MediumTurquoise,,,
Top Blanc, blanc  ,#dfbb9d,Silver,Tan,#decdbf,Silver,LightGrey,#e99aab,Silver,LightPink,#e1c4a8,Silver,Tan,,,
Top Blanc, blanc  ,#dfbb9d,Silver,Tan,#decdbf,Silver,LightGrey,#e99aab,Silver,LightPink,#e1c4a8,Silver,Tan,,,
Top   Bleu nuit, bleu nuit  ,#2e2a51,Black,MidnightBlue,#322955,Black,MidnightBlue,#bfb7b7,Silver,Silver,#e8c6a8,Silver,LightPink,,,
Top Blanc, blanc  ,#e3b496,Silver,Tan,#eec6aa,Silver,LightPink,#e6c1a2,Silver,Tan,#e0d2cb,Silver,LightGrey,,,
Top dentelle Fuchsia, fuchsia  ,#f33c85,Gray,DeepPink,#f3778f,Silver,Salmon,#c3b8bd,Silver,Silver,#dc4269,Gray,Tomato,,,
Top irisé   Blanc, blanc  ,#ecc6a4,Silver,LightPink,#e6c0a1,Silver,Tan,#3b3439,Black,MidnightBlue,#e6bc97,Silver,Tan,,,
Top irisé  Marron foncé, marron foncé  ,#664a41,Gray,DimGrey,#62473e,Gray,DimGrey,#cd8f53,Gray,DarkKhaki,#583d33,Gray,DimGrey,,,
Top irisé  Marron foncé, marron foncé  ,#664a41,Gray,DimGrey,#62473e,Gray,DimGrey,#cd8f53,Gray,DarkKhaki,#583d33,Gray,DimGrey,,,
Top pailleté en lin Ecru, écru   ,#eecfb5,Silver,Moccasin,#ecc5a7,Silver,LightPink,#a18f7e,Gray,RosyBrown,#d2c8b9,Silver,Silver,,,
Top pailleté en lin Ecru, écru   ,#eecfb5,Silver,Moccasin,#ecc5a7,Silver,LightPink,#a18f7e,Gray,RosyBrown,#d2c8b8,Silver,Silver,,,
Top Bordeaux, bordeaux  ,#de5859,Gray,Tomato,#e4595b,Gray,Tomato,#cfae98,Silver,Tan,#c64549,Gray,Brown,,,
Top irisé   Bleu canard, bleu canard  ,#638fa8,Gray,Grey,#75a4bf,Gray,DarkGrey,#312627,Black,Black,#437f9c,Gray,Grey,,,
Top   Ecru, écru,#e4bfa4,Silver,Tan,#e3b48e,Silver,Tan,#89a9c4,Silver,DarkGrey,#8e6a62,Gray,DimGrey,,,
Top   Ecru, écru,#e4bfa4,Silver,Tan,#e3b48e,Silver,Tan,#89a9c4,Silver,DarkGrey,#8e6a62,Gray,DimGrey,,,
Top   Rose pâle, rose pâle  ,#e9d7d5,Silver,LightGrey,#e9dbd8,Silver,LightGrey,#dec2b2,Silver,Silver,#dab9a6,Silver,Tan,#ddbfba,Silver,Silver
Top   Blanc et noir, blanc,#3d363a,Black,MidnightBlue,#43312a,Black,MidnightBlue,#504c52,Gray,DimGrey,#e7c3a8,Silver,LightPink,,,
Top   Ecru, écru,#968691,Gray,Grey,#ebd1bb,Silver,Moccasin,#c9afa7,Silver,Tan,#d3bbb9,Silver,Silver,,,
Top   Blanc, blanc et argenté  ,#eec9af,Silver,LightPink,#cf9e7f,Silver,Tan,#e3c7b6,Silver,LightPink,#e0dcdf,Silver,LightGrey,,,
Top   Blanc, blanc et argenté  ,#eec9af,Silver,LightPink,#cf9e7f,Silver,Tan,#e3c7b6,Silver,LightPink,#e0dcdf,Silver,LightGrey,,,
Top   Blanc, blanc et argenté  ,#eec9af,Silver,LightPink,#cf9e7f,Silver,Tan,#e3c7b6,Silver,LightPink,#e0dcdf,Silver,LightGrey,,,
Top   Bleu, bleu électrique,#2b7fdd,Teal,RoyalBlue,#2275d6,Teal,RoyalBlue,#f57c68,Orange,Salmon,#e7c7ab,Silver,LightPink,,,
Top à franges Blanc, blanc et argenté  ,#d1aea5,Silver,Tan,#d9b491,Silver,Tan,#2d2938,Black,MidnightBlue,#d0b8ac,Silver,Silver,,,
Top Blanc, blanc,#c7afb0,Silver,Silver,#e9c0a8,Silver,LightPink,#504c53,Gray,DimGrey,#e8d4d4,Silver,LightGrey,,,
Top irisé   Kaki foncé, kaki foncé  ,#6f6655,Gray,DimGrey,#5c5342,Gray,DimGrey,#5d7099,Gray,Grey,#4b4433,Green,DimGrey,,,
Top à sequins   Blanc, blanc et argenté  ,#d1cecf,Silver,LightGrey,#e8bfa1,Silver,Tan,#a9b5c6,Silver,Silver,#c5b1a8,Silver,Silver,,,
Top à sequins Noir, noir  ,#322827,Black,Black,#393034,Black,MidnightBlue,#e9c5b1,Silver,LightPink,#3c2c28,Black,MidnightBlue,,,
Top Noir, noir  ,#2b2629,Black,Black,#262125,Black,Black,#d6b5a2,Silver,Tan,#2b272b,Black,MidnightBlue,,,
Top Noir, noir  ,#2b2629,Black,Black,#262125,Black,Black,#d6b5a2,Silver,Tan,#2b272b,Black,MidnightBlue,,,
Top   Moutarde, moutarde  ,#e4db5a,Yellow,Khaki,#dbce46,Orange,DarkKhaki,#bbb9bc,Silver,Silver,#baa60a,Orange,YellowGreen,,,
Top motifs fantaisie   Turquoise et orange, turquoise,#ae9e9c,Silver,DarkGrey,#b7988e,Gray,RosyBrown,#393134,Black,MidnightBlue,#e5c1a5,Silver,Tan,,,
Top motifs fantaisie   Turquoise et orange, turquoise,#ae9d9c,Silver,DarkGrey,#b8998f,Silver,RosyBrown,#393134,Black,MidnightBlue,#e5c1a5,Silver,Tan,,,
Top motifs fantaisie   Turquoise et orange, turquoise,#ae9e9c,Silver,DarkGrey,#b7988e,Gray,RosyBrown,#393134,Black,MidnightBlue,#e5c1a5,Silver,Tan,,,
Top en dentelle Ecru, écru  ,#d8d1ca,Silver,LightGrey,#dfdcd8,Silver,LightGrey,#454957,Gray,DimGrey,#dbd1c5,Silver,LightGrey,,,
Top en dentelle Ecru, écru  ,#d7cfc7,Silver,LightGrey,#dddad5,Silver,LightGrey,#454957,Gray,DimGrey,#dbd1c5,Silver,LightGrey,,,
Top dentelle Blanc, blanc et noir  ,#dfc0ad,Silver,Silver,#ecc5a8,Silver,LightPink,#5a5356,Gray,DimGrey,#48352b,Black,DimGrey,,,
Top   Fuchsia, fuchsia et doré  ,#eecaa8,Silver,Moccasin,#d83f77,Gray,DeepPink,#e4c2af,Silver,LightPink,#e7c9ae,Silver,LightPink,,,
Top motifs léopard Blanc, blanc,#aa9790,Gray,RosyBrown,#dfccc5,Silver,LightGrey,#bcb4b0,Silver,Silver,#dfceca,Silver,LightGrey,,,
Top motifs léopard Blanc, blanc,#aa9690,Gray,RosyBrown,#dfccc5,Silver,LightGrey,#bcb4b0,Silver,Silver,#dfceca,Silver,LightGrey,,,
Top motifs fantaisie   Bleu et rouge, bleu,#e5c6ac,Silver,LightPink,#ad8684,Gray,RosyBrown,#beadab,Silver,DarkGrey,#ead4bb,Silver,Moccasin,,,
Blouse motifs fleuris   Bleu, bleu,#dad8d6,Silver,LightGrey,#9aa3b1,Silver,DarkGrey,#919eaf,Gray,DarkGrey,#6b402d,Gray,Brown,,,
Blouse motifs fantaisie   Bleu, bleu,#c9c9c9,Silver,LightGrey,#b0a7a4,Silver,DarkGrey,#b87441,Gray,Chocolate,#394b56,Teal,DimGrey,,,
Top  Moutarde, moutarde et doré  ,#e9b429,Orange,Orange,#f2c7a1,Silver,Moccasin,#3c3759,Teal,MidnightBlue,#dea40d,Orange,Orange,,,
Top   Vert d'eau, vert d'eau  ,#bdc0b1,Silver,Silver,#c3e8e8,Silver,PaleTurquoise,#e1c5b2,Silver,Silver,#b9e2e0,Silver,LightBlue,,,
Top   Vert d'eau, vert d'eau  ,#bdc0b1,Silver,Silver,#c4e9e8,Silver,PaleTurquoise,#e1c5b2,Silver,Silver,#b9e2e0,Silver,LightBlue,,,
Top   Rouge, rouge  ,#fd5039,Orange,Tomato,#fd543b,Orange,Tomato,#f5533d,Orange,Tomato,#ee1e20,Orange,Crimson,,,
Top   Rouge, rouge  ,#fd5039,Orange,Tomato,#fb3d2e,Orange,Tomato,#f5533d,Orange,Tomato,#ee1e20,Orange,Crimson,,,
Top   Rouge, rouge  ,#fd5039,Orange,Tomato,#fb3d2e,Orange,Tomato,#f6533d,Orange,Tomato,#ee1e20,Orange,Crimson,,,
Top motifs tropicaux Blanc, blanc,#615147,Gray,DimGrey,#48443e,Gray,DimGrey,#d6b79e,Silver,Tan,#494981,Gray,DimGrey,,,
Top motifs tropicaux Blanc, blanc,#615147,Gray,DimGrey,#48443e,Gray,DimGrey,#d6b79e,Silver,Tan,#494981,Gray,DimGrey,,,
Blouse   Rose et vert d'eau, rose,#cfbab7,Silver,Silver,#ebdcd4,Silver,LightGrey,#dbbfb7,Silver,Silver,#ecdbcb,Silver,LightGrey,,,
Top volanté   Bleu-gris, bleu-gris  ,#dbdbd8,Silver,LightGrey,#e5bda2,Silver,Tan,#514e55,Gray,DimGrey,#d8d7d2,Silver,LightGrey,,,
Blouse motifs fleuris   Noir et rose, noir et rose  ,#a27c70,Gray,Grey,#956d62,Gray,Grey,#403134,Black,MidnightBlue,#4f322c,Black,Maroon,,,
Top motifs fleuris Vert, vert,#a79b94,Gray,RosyBrown,#d3cac5,Silver,LightGrey,#b1c1be,Silver,Silver,#e6cbb3,Silver,Moccasin,,,
Top motifs fleuris Vert, vert,#a79b94,Gray,RosyBrown,#d3cac5,Silver,LightGrey,#b1c1be,Silver,Silver,#e6cbb3,Silver,Moccasin,,,
Top   Fuchsia, fuchsia et doré  ,#e94191,Gray,DeepPink,#ce1e72,Gray,Crimson,#c8daea,Silver,LightGrey,#bc245b,Gray,Crimson,,,
Blouse motifs fleuris   Bleu, bleu,#e6dfd4,Silver,LightGrey,#7e7988,Gray,Grey,#9eb5c9,Silver,DarkGrey,#e7ded0,Silver,LightGrey,,,
Top   Vert, vert  ,#75e0a0,Silver,LightGreen,#e7c397,Silver,Tan,#1d1a18,Black,Black,#e5c79c,Silver,Tan,,,
Top   Vert, vert  ,#75e0a0,Silver,LightGreen,#e7c397,Silver,Tan,#1d1a18,Black,Black,#e5c79c,Silver,Tan,,,
Top irisé   Turquoise, turquoise  ,#07b0d7,Aqua,DarkTurquoise,#03b5dd,Aqua,DarkTurquoise,#555257,Gray,DimGrey,#04b0d9,Aqua,DarkTurquoise,,,
Top Ecru, écru  ,#d8c6ae,Silver,Silver,#e2dfd5,Silver,LightGrey,#dcbfa8,Silver,Tan,#d7c6ad,Silver,Silver,,,
Top Ecru, écru  ,#d8c6ae,Silver,Silver,#e2dfd5,Silver,LightGrey,#dcbfa8,Silver,Tan,#d7c6ad,Silver,Silver,,,
Top en plumetis   Noir, noir  ,#423838,Black,MidnightBlue,#352e31,Black,MidnightBlue,#d9c0b1,Silver,Silver,#332e2f,Black,MidnightBlue,,,
Top en plumetis   Noir, noir  ,#423838,Black,MidnightBlue,#352e31,Black,MidnightBlue,#d9c0b1,Silver,Silver,#332e2f,Black,MidnightBlue,,,
Top en plumetis   Noir, noir  ,#423838,Black,MidnightBlue,#352e31,Black,MidnightBlue,#d9c0b1,Silver,Silver,#332e2f,Black,MidnightBlue,,,
Top   Rouge, rouge  ,#f83b36,Orange,Tomato,#f93432,Orange,Crimson,#ebb7b9,Silver,LightPink,#ec2d34,Orange,Crimson,,,
Top   Ocre, ocre et doré  ,#fcb235,Orange,Orange,#fcb135,Orange,Orange,#7692ac,Gray,Grey,#f2b74e,Orange,Coral,,,
Top   Ocre, ocre et doré  ,#fcb235,Orange,Orange,#fcb135,Orange,Orange,#7692ac,Gray,Grey,#f2b74e,Orange,Coral,,,
Top   Ocre, ocre et doré  ,#fcb235,Orange,Orange,#fcb135,Orange,Orange,#7692ac,Gray,Grey,#f2b74e,Orange,Coral,,,
Top dentelle Bleu, bleu  ,#576d96,Gray,DimGrey,#7288b0,Gray,Grey,#677aa3,Gray,Grey,#f2d5bc,Silver,Moccasin,,,
Top Moutarde, moutarde  ,#ebd772,Silver,Khaki,#e9dc73,Silver,Khaki,#c7b882,Silver,Tan,#e6da69,Silver,Khaki,,,
Top   Ecru, écru  ,#dcb89c,Silver,Tan,#e5d2c8,Silver,LightGrey,#edb2c9,Silver,LightPink,#e0dcd5,Silver,LightGrey,,,
Blouse   Curcuma, curcuma,#f4bc49,Orange,Coral,#fac451,Orange,Khaki,#343147,Black,MidnightBlue,#d58f1c,Orange,Chocolate,,,
Blouse   Curcuma, curcuma,#f4bc49,Orange,Coral,#fac451,Orange,Khaki,#343147,Black,MidnightBlue,#d58f1c,Orange,Chocolate,,,
Blouse motifs léopard   Noir et orange, noir,#dfccc6,Silver,LightGrey,#aa948f,Gray,RosyBrown,#d5bdb1,Silver,Silver,#4a312b,Black,Maroon,,,
Top   Noir et blanc, noir,#524e58,Gray,DimGrey,#252125,Black,Black,#d3b8b0,Silver,Silver,#3b3636,Black,MidnightBlue,,,
Blouse motifs fleuris Jaune, jaune,#d3ccb8,Silver,Silver,#e3dfcd,Silver,LightGrey,#4d4a4f,Gray,DimGrey,#342e28,Black,MidnightBlue,,,
Top   Blanc, blanc  ,#eed8c8,Silver,Moccasin,#ddb395,Silver,Tan,#a8c6df,Silver,LightBlue,#e4dbd3,Silver,LightGrey,,,
Top   Blanc, blanc  ,#eed8c8,Silver,Moccasin,#ddb395,Silver,Tan,#a8c6df,Silver,LightBlue,#e4dbd3,Silver,LightGrey,,,
Blouse   Rouge, rouge  ,#f51d24,Orange,Crimson,#f72928,Orange,Crimson,#8d8c90,Gray,Grey,#f82226,Orange,Crimson,,,
Blouse   Ecru, écru et nude  ,#e2dad5,Silver,LightGrey,#7c4d33,Gray,Brown,#e0b9a6,Silver,Tan,#e4dad3,Silver,LightGrey,,,
Top Rouge, rouge  ,#fd5e26,Orange,Tomato,#fb4723,Orange,OrangeRed,#f04e28,Orange,Tomato,#f63e1e,Orange,OrangeRed,,,
Top Rouge, rouge  ,#fd5e26,Orange,Tomato,#fb4723,Orange,OrangeRed,#f04e28,Orange,Tomato,#f63e1e,Orange,OrangeRed,,,
Blouse portefeuille   Noir et blanc, noir et blanc  ,#8d8585,Gray,Grey,#968d8d,Gray,Grey,#332c30,Black,MidnightBlue,#52494b,Gray,DimGrey,,,
Blouse portefeuille   Noir et blanc, noir et blanc  ,#8d8585,Gray,Grey,#968d8d,Gray,Grey,#332c30,Black,MidnightBlue,#52494b,Gray,DimGrey,,,
Blouse portefeuille   Noir et blanc, noir et blanc  ,#8d8585,Gray,Grey,#968d8d,Gray,Grey,#332c30,Black,MidnightBlue,#52494b,Gray,DimGrey,,,
Blouse portefeuille   Noir et blanc, noir et blanc  ,#8d8585,Gray,Grey,#968d8d,Gray,Grey,#332c30,Black,MidnightBlue,#52494b,Gray,DimGrey,,,
Top   Jaune, jaune  ,#f6e398,Silver,Khaki,#f0e484,Silver,Khaki,#ebd598,Silver,Khaki,#f7e87d,Silver,Khaki,,,
Top   Jaune, jaune  ,#f6e398,Silver,Khaki,#f0e484,Silver,Khaki,#ebd598,Silver,Khaki,#f7e87d,Silver,Khaki,,,
Top Jaune, jaune  ,#f1efa9,Silver,Moccasin,#e4e177,Silver,Khaki,#b1afaf,Silver,DarkGrey,#e9e999,Silver,Khaki,,,
Blouse   Noir et rouge, noir,#413636,Black,MidnightBlue,#3e373b,Black,MidnightBlue,#b3a29b,Silver,DarkGrey,#3a302f,Black,MidnightBlue,,,
Blouse   Noir et rouge, noir,#413636,Black,MidnightBlue,#3e373b,Black,MidnightBlue,#b3a29b,Silver,DarkGrey,#3a302f,Black,MidnightBlue,,,
Top   Vanille, vanille  ,#e2dacc,Silver,LightGrey,#ebc2a0,Silver,Tan,#c0a196,Silver,RosyBrown,#e6dccc,Silver,LightGrey,,,
Top en guipure   Bleu marine, bleu marine  ,#211f2c,Black,Black,#e8c7ad,Silver,LightPink,#7fa6c5,Silver,DarkGrey,#252434,Black,MidnightBlue,,,
Top dentelle Blanc, blanc et noir  ,#4e3e3b,Gray,DimGrey,#c5beb9,Silver,Silver,#3c3132,Black,MidnightBlue,#4b403f,Gray,DimGrey,,,
Top dentelle Blanc, blanc et noir  ,#4e3e3b,Gray,DimGrey,#c5beb9,Silver,Silver,#3b3031,Black,MidnightBlue,#4b403f,Gray,DimGrey,,,
Top  Fuchsia, fuchsia  ,#e1367b,Gray,DeepPink,#df2f75,Gray,DeepPink,#d7c2bb,Silver,Silver,#e1367c,Gray,DeepPink,,,
Top  Fuchsia, fuchsia  ,#e1367b,Gray,DeepPink,#df2f75,Gray,DeepPink,#d7c2bb,Silver,Silver,#e1367c,Gray,DeepPink,,,
Blouse   Ecru, écru  ,#e3b290,Silver,Tan,#e3b48f,Silver,Tan,#484153,Gray,DimGrey,#e1dcd8,Silver,LightGrey,,,
Top volanté Turquoise, turquoise  ,#7ee5e6,Silver,SkyBlue,#a2eeef,Silver,PaleTurquoise,#3c3539,Black,MidnightBlue,#9ef1f1,Silver,PaleTurquoise,,,
Blouse   Bleu marine, bleu marine et curcuma  ,#574b71,Gray,DimGrey,#7975b2,Gray,MediumPurple,#c67d44,Gray,Chocolate,#776785,Gray,Grey,,,
Blouse   Bleu marine, bleu marine et curcuma  ,#574b71,Gray,DimGrey,#7975b2,Gray,MediumPurple,#c67d44,Gray,Chocolate,#776784,Gray,Grey,,,
Top   Bleu-gris, bleu-gris  ,#82b8d9,Silver,SkyBlue,#84b7d8,Silver,SkyBlue,#3b4f66,Teal,DimGrey,#669cbf,Gray,MediumTurquoise,,,
Blouse   Nude, nude,#564c46,Gray,DimGrey,#985538,Gray,Brown,#393236,Black,MidnightBlue,#e2c7b6,Silver,LightGrey,,,
Blouse Bleu marine, bleu marine  ,#34314d,Black,MidnightBlue,#33304d,Black,MidnightBlue,#31304b,Black,MidnightBlue,#373655,Teal,MidnightBlue,,,
Blouse Bleu marine, bleu marine  ,#34314d,Black,MidnightBlue,#33304d,Black,MidnightBlue,#31304b,Black,MidnightBlue,#373655,Teal,MidnightBlue,,,
Blouse   Paprika, paprika  ,#c74142,Gray,Brown,#cc4144,Gray,Crimson,#3d3146,Black,MidnightBlue,#dd675e,Gray,Tomato,,,
Top motifs fantaisie Noir, noir,#523b39,Gray,DimGrey,#4b3735,Black,DimGrey,#e9cdbc,Silver,Pink,#402f2c,Black,MidnightBlue,,,
Top en guipure   Blanc, blanc  ,#e3bc9e,Silver,Tan,#f1ceb0,Silver,Moccasin,#3d385a,Teal,MidnightBlue,#cea98f,Silver,Tan,,,
Top en guipure   Blanc, blanc  ,#e3bc9e,Silver,Tan,#f1ceb0,Silver,Moccasin,#3d385a,Teal,MidnightBlue,#cea98f,Silver,Tan,,,
Top en guipure   Blanc, blanc  ,#e3bc9e,Silver,Tan,#f1ceb0,Silver,Moccasin,#3d385a,Teal,MidnightBlue,#cea98f,Silver,Tan,,,
Blouse   Ecru, écru  ,#d9cabf,Silver,LightGrey,#e4c0a2,Silver,Tan,#e3c2ae,Silver,LightPink,#dfcfc4,Silver,LightGrey,,,
Top  Bleu marine, bleu marine  ,#303b76,Teal,MidnightBlue,#354383,Teal,MidnightBlue,#323254,Teal,MidnightBlue,#323e76,Teal,MidnightBlue,,,
Blouse motifs fleuris   Rouge et blanc, rouge et blanc  ,#f1d3cd,Silver,Pink,#e69a99,Silver,Tan,#d4a79e,Silver,Tan,#e4c1a5,Silver,Tan,,,
Blouse motifs fleuris   Rouge et blanc, rouge et blanc  ,#f1d4ce,Silver,Pink,#e69b9a,Silver,Tan,#d4a79e,Silver,Tan,#e4c1a5,Silver,Tan,,,
Blouse motifs fleuris   Rouge et blanc, rouge et blanc  ,#f1d3cd,Silver,Pink,#e69a99,Silver,Tan,#d4a79e,Silver,Tan,#e4c1a5,Silver,Tan,,,
Blouse motifs rouge à lèvres   Bleu marine, bleu marine,#3b406e,Teal,MidnightBlue,#49548d,Gray,DimGrey,#30324d,Black,MidnightBlue,#424c7d,Gray,DimGrey,,,
Top   Vert d'eau, vert d'eau   ,#cbb99f,Silver,Tan,#d7d8d2,Silver,LightGrey,#c8beb5,Silver,Silver,#c0d9cd,Silver,LightGrey,,,
Top   Turquoise, turquoise  ,#5bdce2,Aqua,MediumTurquoise,#6bdae0,Silver,SkyBlue,#332d2e,Black,MidnightBlue,#67dfe3,Silver,SkyBlue,,,
Top   Turquoise, turquoise  ,#5bdce2,Aqua,MediumTurquoise,#6bdae0,Silver,SkyBlue,#e4dfd9,Silver,LightGrey,#67dfe3,Silver,SkyBlue,,,
Top   Turquoise, turquoise  ,#5bdce2,Aqua,MediumTurquoise,#6bdae0,Silver,SkyBlue,#e4dfda,Silver,LightGrey,#67dfe3,Silver,SkyBlue,,,
Top à rayures Bleu marine et blanc, bleu marine et blanc  ,#575070,Gray,DimGrey,#544d6d,Gray,DimGrey,#b6b2c8,Silver,Silver,#e4d5ce,Silver,LightGrey,,,
Blouse Vert, vert,#d7d5d3,Silver,LightGrey,#dddedd,Silver,LightGrey,#d5d5d5,Silver,LightGrey,#d2d3d1,Silver,LightGrey,,,
Blouse Vert, vert,#d7d5d3,Silver,LightGrey,#dddedd,Silver,LightGrey,#d5d5d5,Silver,LightGrey,#d2d3d1,Silver,LightGrey,,,
Chemise courte   Ciel, ciel  ,#a0a8ba,Silver,DarkGrey,#deb995,Silver,Tan,#8f8d92,Gray,Grey,#e7c2a9,Silver,LightPink,,,
Blouse   Ecru, écru,#4e3e36,Gray,DimGrey,#373336,Black,MidnightBlue,#372f33,Black,MidnightBlue,#4b3731,Black,DimGrey,,,
